"abd","C.ach","C.akw","C.ata","C.kma","C.oro","C.pad","C.paj","C.pal","age","fthr.ed","mthr.ed","orphan96","fthr.frm","hh.size96","educ"
1,0,0,0,1,0,0,0,0,29,10,4,0,1,13,14
1,0,0,0,0,0,1,0,0,18,4,4,0,1,5,9
1,0,0,0,0,0,0,1,0,26,4,0,0,1,6,9
0,0,0,0,0,0,0,1,0,16,4,4,0,1,6,6
1,0,0,0,0,0,0,1,0,17,0,0,0,1,7,5
1,0,0,0,0,0,0,1,0,28,0,0,0,1,7,9
1,0,0,0,0,0,0,1,0,19,10,4,0,1,8,6
1,0,0,0,0,0,0,1,0,16,7,4,0,1,7,9
1,0,0,0,0,0,0,1,0,15,7,0,0,1,7,6
1,0,0,0,0,0,0,1,0,24,7,4,0,1,8,5
1,0,0,0,0,0,0,1,0,15,4,4,0,1,11,9
1,0,0,0,0,0,0,1,0,16,0,0,0,1,5,6
1,0,0,0,0,0,0,1,0,19,7,0,0,0,8,7
1,0,0,0,0,0,0,1,0,21,4,4,0,1,4,5
1,0,0,0,0,0,0,0,1,30,0,0,0,1,9,3
0,0,0,0,0,0,0,0,1,25,4,0,0,1,18,13
0,0,0,1,0,0,0,0,0,25,7,4,0,1,4,5
0,0,0,1,0,0,0,0,0,14,4,0,0,1,7,7
0,0,0,1,0,0,0,0,0,20,4,0,0,1,7,11
0,0,0,1,0,0,0,0,0,15,4,4,0,1,5,6
1,0,0,1,0,0,0,0,0,20,10,4,0,1,5,11
0,0,0,1,0,0,0,0,0,14,4,0,0,1,8,6
1,0,0,0,1,0,0,0,0,20,10,0,0,0,14,0
1,0,0,0,1,0,0,0,0,23,10,10,0,1,8,15
0,0,0,1,0,0,0,0,0,16,7,4,0,1,14,6
1,0,0,1,0,0,0,0,0,25,10,0,0,1,5,8
1,0,0,1,0,0,0,0,0,18,4,4,0,1,7,5
1,0,0,0,0,0,0,0,1,26,7,4,0,1,9,5
0,0,0,0,0,0,0,0,1,26,4,0,0,1,10,9
0,0,0,1,0,0,0,0,0,25,0,0,1,1,8,4
0,0,0,1,0,0,0,0,0,22,7,0,0,1,8,3
0,0,0,1,0,0,0,0,0,30,0,0,0,1,8,3
0,0,0,1,0,0,0,0,0,18,7,0,0,1,8,11
1,0,0,1,0,0,0,0,0,30,0,0,0,1,7,7
1,0,0,1,0,0,0,0,0,20,0,4,0,1,7,3
1,0,0,1,0,0,0,0,0,30,4,4,0,1,6,4
0,0,0,1,0,0,0,0,0,25,10,4,0,1,8,11
0,0,0,1,0,0,0,0,0,18,4,0,1,1,6,3
0,0,0,1,0,0,0,0,0,17,4,4,0,1,5,4
1,0,0,0,0,0,1,0,0,30,4,0,0,1,3,6
1,0,0,1,0,0,0,0,0,26,0,0,0,1,6,6
0,0,0,1,0,0,0,0,0,18,4,0,1,1,5,6
0,0,0,1,0,0,0,0,0,30,4,0,0,1,2,13
1,0,0,1,0,0,0,0,0,19,7,4,0,1,5,5
0,0,0,1,0,0,0,0,0,22,4,0,0,1,8,10
0,0,0,1,0,0,0,0,0,20,4,0,0,1,8,9
